airtime,selected_mcs,txgain,pm_power
1.0,14,68,14.72337867
1.0,18,68,15.052116
1.0,23,68,15.66193733
1.0,0,63,13.56632533
1.0,5,63,13.56147867
1.0,9,63,13.91544267
1.0,14,63,14.29990667
1.0,18,63,14.479876
1.0,23,63,15.13252
1.0,0,63,13.56447733
1.0,5,63,13.64303867
1.0,9,63,13.98467333
1.0,14,63,14.249096
1.0,18,63,14.594632
1.0,23,63,15.186036
1.0,0,63,13.53986
1.0,5,63,13.778352
1.0,9,63,14.06980667
1.0,14,63,14.35628533
1.0,18,63,14.695736
1.0,23,63,15.25303867
1.0,0,63,13.60335733
1.0,5,63,13.97269067
1.0,9,63,13.94713733
1.0,14,63,14.47284533
1.0,18,63,14.752692
1.0,23,63,15.17962267
1.0,0,63,13.83156267
1.0,5,63,13.89366267
1.0,9,63,14.20150267
1.0,14,63,14.727528
1.0,18,63,14.79877333
1.0,23,63,15.55115867
1.0,0,63,13.96720667
1.0,5,63,13.96494
1.0,9,63,14.38526
1.0,14,63,14.83090267
1.0,18,63,14.89629467
1.0,23,63,15.728436
1.0,0,58,13.488456
1.0,5,58,13.625496
1.0,9,58,13.94943733
1.0,14,58,14.145436
1.0,18,58,14.59173333
1.0,23,58,15.15759333
1.0,0,58,13.449656
1.0,5,58,13.76698133
1.0,9,58,13.88242267
1.0,14,58,14.28501733
1.0,18,58,14.62710133
1.0,23,58,15.14709733
1.0,0,58,13.52773867
1.0,5,58,13.85163867
1.0,9,58,13.85313333
1.0,14,58,14.50834933
1.0,18,58,14.628232
1.0,23,58,15.11762133
1.0,0,58,13.692988
1.0,5,58,13.71128533
1.0,9,58,14.087608
1.0,14,58,14.53959867
1.0,18,58,14.59586667
1.0,23,58,15.31240667
1.0,0,58,13.82318533
1.0,5,58,13.79249333
1.0,9,58,14.181676
1.0,14,58,14.571928
1.0,18,58,14.76543333
1.0,23,58,15.48388
1.0,0,58,13.83536667
1.0,5,58,14.046072
1.0,9,58,14.31348667
1.0,14,58,14.58244667
1.0,18,58,16.12582533
1.0,23,58,16.144848
1.0,0,53,13.45964933
1.0,5,53,13.65896933
1.0,9,53,13.94180267
1.0,14,53,14.188844
1.0,18,53,14.56954533
1.0,23,53,15.76772667
1.0,0,53,13.678212
1.0,5,53,13.659628
1.0,9,53,13.97033333
1.0,14,53,14.33418267
1.0,18,53,14.512044
1.0,23,53,15.17644667
1.0,0,53,13.67387067
1.0,5,53,13.709484
1.0,9,53,14.099628
1.0,14,53,14.36098133
1.0,18,53,14.68867467
1.0,23,53,15.23613733
1.0,0,53,13.63374933
1.0,5,53,13.92975333
1.0,9,53,14.05575067
1.0,14,53,14.541532
1.0,18,53,14.63471733
1.0,23,53,15.31711067
1.0,0,53,13.859616
1.0,5,53,13.919388
1.0,9,53,14.187076
1.0,14,53,14.55367733
1.0,18,53,14.73149733
1.0,23,53,15.45726933
1.0,0,53,13.888624
1.0,5,53,14.05411067
1.0,9,53,14.33123067
1.0,14,53,14.543968
1.0,18,53,15.01425467
1.0,23,53,15.746888
1.0,0,48,13.35885867
1.0,5,48,13.68546667
